gene,gene_category
LAMTOR2,common essential
LARS,common essential
LARS2,common essential
LAS1L,common essential
LENG1,common essential
LENG8,common essential
LEO1,common essential
LIAS,common essential
LIN52,common essential
LIN54,common essential
LONP1,common essential
LRPPRC,common essential
LRR1,common essential
LSG1,common essential
LSM11,common essential
LSM4,common essential
LSM5,common essential
LTV1,common essential
LUC7L3,common essential
LYRM4,common essential
MAGOH,common essential
MALSU1,common essential
MARS,common essential
MASTL,common essential
MAT2A,common essential
MAU2,common essential
MAX,common essential
MCM10,common essential
MCM2,common essential
MCM3,common essential
MCM5,common essential
MCM6,common essential
MCM7,common essential
MCMBP,common essential
MCRS1,common essential
MDC1,common essential
MDN1,common essential
MED1,common essential
MED12,common essential
MED14,common essential
MED17,common essential
MED18,common essential
MED19,common essential
MED20,common essential
MED26,common essential
MED27,common essential
MED28,common essential
MED31,common essential
MED4,common essential
MED6,common essential
MED7,common essential
MED8,common essential
MED9,common essential
METAP1,common essential
METAP2,common essential
METTL1,common essential
METTL14,common essential
METTL16,common essential
METTL3,common essential
MFAP1,common essential
MFN2,common essential
MIPEP,common essential
MIS18A,common essential
MIS18BP1,common essential
MMS19,common essential
MMS22L,common essential
MNAT1,common essential
MOB4,common essential
MPHOSPH10,common essential
MRPL11,common essential
MRPL12,common essential
MRPL16,common essential
MRPL17,common essential
MRPL18,common essential
MRPL19,common essential
MRPL20,common essential
MRPL21,common essential
MRPL22,common essential
MRPL24,common essential
MRPL27,common essential
MRPL32,common essential
MRPL34,common essential
MRPL35,common essential
MRPL37,common essential
MRPL38,common essential
MRPL39,common essential
MRPL4,common essential
MRPL40,common essential
MRPL42,common essential
MRPL44,common essential
MRPL47,common essential
MRPL48,common essential
MRPL49,common essential
MRPL51,common essential
MRPL52,common essential
MRPL9,common essential
MRPS10,common essential
MRPS12,common essential
MRPS14,common essential
MRPS15,common essential
MRPS18A,common essential
MRPS18B,common essential
MRPS18C,common essential
MRPS23,common essential
MRPS24,common essential
MRPS25,common essential
MRPS27,common essential
MRPS30,common essential
MRPS31,common essential
MRPS33,common essential
MRPS35,common essential
MRPS5,common essential
MRPS6,common essential
MRPS7,common essential
MRPS9,common essential
MRTO4,common essential
MTG1,common essential
MTHFD1,common essential
MTOR,common essential
MTPAP,common essential
MVD,common essential
MYBBP1A,common essential
MYBL2,common essential
N6AMT1,common essential
NAA10,common essential
NAA15,common essential
NAA20,common essential
NAA25,common essential
NAA30,common essential
NAA50,common essential
NAE1,common essential
NAF1,common essential
NAPA,common essential
NAPG,common essential
NARS,common essential
NARS2,common essential
NAT10,common essential
NBAS,common essential
NCAPD2,common essential
NCAPG,common essential
NCAPH,common essential
NCBP1,common essential
NCBP2,common essential
NCL,common essential
NDC80,common essential
NDUFAB1,common essential
NDUFB4,common essential
NEDD1,common essential
NELFA,common essential
NELFB,common essential
NELFE,common essential
NFS1,common essential
NGDN,common essential
NHLRC2,common essential
NHP2,common essential
NIP7,common essential
NIPBL,common essential
NKAP,common essential
NLE1,common essential
NOB1,common essential
NOC3L,common essential
NOC4L,common essential
NOL10,common essential
NOL11,common essential
NOL6,common essential
NOL7,common essential
NOL8,common essential
NOL9,common essential
NOLC1,common essential
NOM1,common essential
NONO,common essential
NOP10,common essential
NOP14,common essential
NOP16,common essential
NOP2,common essential
NOP56,common essential
NOP58,common essential
NOP9,common essential
NPAT,common essential
NPLOC4,common essential
NRDE2,common essential
NRF1,common essential
NSA2,common essential
NSF,common essential
NSL1,common essential
NSMCE1,common essential
NSMCE4A,common essential
NSRP1,common essential
NSUN4,common essential
NUBP1,common essential
NUDC,common essential
NUDCD3,common essential
NUDT21,common essential
NUF2,common essential
NUFIP1,common essential
NUP107,common essential
NUP133,common essential
NUP153,common essential
NUP155,common essential
NUP160,common essential
NUP205,common essential
NUP214,common essential
NUP43,common essential
NUP54,common essential
NUP85,common essential
NUP88,common essential
NUP93,common essential
NUP98,common essential
NVL,common essential
OGDH,common essential
OGT,common essential
OIP5,common essential
OPA1,common essential
ORC1,common essential
ORC2,common essential
ORC3,common essential
ORC4,common essential
ORC5,common essential
ORC6,common essential
OSBP,common essential
OSGEP,common essential
OXA1L,common essential
PABPN1,common essential
PAF1,common essential
PAFAH1B1,common essential
PAK1IP1,common essential
PALB2,common essential
PARN,common essential
PARS2,common essential
PAXBP1,common essential
PCF11,common essential
PCID2,common essential
PCNA,common essential
PCNT,common essential
PCYT1A,common essential
PDAP1,common essential
PDCD11,common essential
PDCD2,common essential
PDCL,common essential
PDPK1,common essential
PDRG1,common essential
PDS5A,common essential
PES1,common essential
PET117,common essential
PFAS,common essential
PFDN1,common essential
PFDN2,common essential
PFDN6,common essential
PGD,common essential
PGGT1B,common essential
PGK1,common essential
PGM3,common essential
PGS1,common essential
PHB,common essential
PIK3C3,common essential
PIK3R4,common essential
PLK1,common essential
PLK4,common essential
PLRG1,common essential
PMF1,common essential
PMPCA,common essential
PMPCB,common essential
PMVK,common essential
PNISR,common essential
PNN,common essential
PNO1,common essential
PNPT1,common essential
POLA1,common essential
POLA2,common essential
POLD1,common essential
POLD2,common essential
POLD3,common essential
POLE,common essential
POLE2,common essential
POLR1A,common essential
POLR1B,common essential
POLR1C,common essential
POLR1E,common essential
POLR2B,common essential
POLR2C,common essential
POLR2D,common essential
POLR2E,common essential
POLR2F,common essential
POLR2I,common essential
POLR2L,common essential
POLR3A,common essential
POLR3B,common essential
POLR3C,common essential
POLR3E,common essential
POLR3F,common essential
POLR3H,common essential
POLR3K,common essential
POP4,common essential
POP7,common essential
PPA1,common essential
PPAN,common essential
PPIE,common essential
PPIL2,common essential
PPIL4,common essential
PPP1R10,common essential
PPP1R15B,common essential
PPP1R2,common essential
PPP1R7,common essential
PPP1R8,common essential
PPP2CA,common essential
PPP2R1A,common essential
PPP4C,common essential
PPP6C,common essential
PPRC1,common essential
PPWD1,common essential
PRC1,common essential
PRCC,common essential
PREB,common essential
PRELID1,common essential
PRIM1,common essential
PRMT1,common essential
PRMT5,common essential
PRPF18,common essential
PRPF19,common essential
PRPF3,common essential
PRPF31,common essential
PRPF38B,common essential
PRPF39,common essential
PRPF4,common essential
PRPF40A,common essential
PRPF4B,common essential
PRPF6,common essential
PRPF8,common essential
PSMA1,common essential
PSMA2,common essential
PSMA3,common essential
PSMA5,common essential
PSMA7,common essential
PSMB1,common essential
PSMB2,common essential
PSMB4,common essential
PSMB5,common essential
PSMB6,common essential
PSMB7,common essential
PSMC1,common essential
PSMC3,common essential
PSMC4,common essential
PSMC5,common essential
PSMC6,common essential
PSMD1,common essential
PSMD11,common essential
PSMD12,common essential
PSMD13,common essential
PSMD14,common essential
PSMD2,common essential
PSMD3,common essential
PSMD4,common essential
PSMD6,common essential
PSMD7,common essential
PSMD8,common essential
PSMG1,common essential
PSMG2,common essential
PSMG4,common essential
PSTK,common essential
PTCD3,common essential
PTPMT1,common essential
PWP1,common essential
PWP2,common essential
QARS,common essential
QRSL1,common essential
RABGGTB,common essential
RAC1,common essential
RACGAP1,common essential
RAD1,common essential
RAD50,common essential
RAD51,common essential
RAD51C,common essential
RAE1,common essential
RAN,common essential
RANBP2,common essential
RANGAP1,common essential
RARS,common essential
RARS2,common essential
RBBP4,common essential
RBBP5,common essential
RBBP6,common essential
RBBP8,common essential
RBM12,common essential
RBM14,common essential
RBM17,common essential
RBM19,common essential
RBM25,common essential
RBM28,common essential
RBM33,common essential
RBM39,common essential
RBM42,common essential
RBM48,common essential
RBMX,common essential
RBMX2,common essential
RBX1,common essential
RCC1,common essential
RCL1,common essential
REV3L,common essential
RFC1,common essential
RFC2,common essential
RFC3,common essential
RFC4,common essential
RFC5,common essential
RFT1,common essential
RFWD3,common essential
RHOA,common essential
RINT1,common essential
RIOK1,common essential
RIOK2,common essential
RNASEH2A,common essential
RNASEH2B,common essential
RNF168,common essential
RNF20,common essential
RNF40,common essential
RNF8,common essential
RNGTT,common essential
